群馬,入荷量(トン),　当月の平均気温(℃),　一月前の平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),日照時間の合計(時間),気温max=<20かつmin=>10の日数(日)
1-Jan,1219,4.3,7,9.1,-0.3,28.5,210,0
1-Feb,1285,4.4,4.3,9.4,-0.4,17,188.2,0
1-Mar,1150,9,4.4,14.8,3,44.5,194.2,0
1-Apr,883,13.9,9,19.9,8.3,90,157.7,1
1-May,1093,20.7,13.9,27.4,14.2,38.5,262.5,0
1-Jun,992,22,20.7,27.2,17.7,182,136.5,0
1-Jul,704,26.2,22,31.5,22,289.5,180.8,0
1-Aug,506,26.2,26.2,31.4,22.5,168.5,141.7,0
1-Sep,676,21.8,26.2,26.4,18.3,227.5,112.6,2
1-Oct,1217,17,21.8,22.6,12.4,22.5,205.4,5
1-Nov,1348,12.5,17,17.1,8.3,129,118.7,8
1-Dec,1209,7.5,12.5,12.8,2.8,18,192.4,0
1-Jan,1000,4.1,7.5,9.9,-1.2,56.5,210.3,0
1-Feb,1023,5.5,4.1,11.5,0.3,16,206.3,0
1-Mar,897,9,5.5,14.6,3.7,64,204.6,0
1-Apr,932,14.7,9,20.5,9.2,71,174.2,4
1-May,978,20,14.7,26.2,14.3,47,200.1,2
1-Jun,892,22.1,20,27.1,17.8,115.5,143.8,0
1-Jul,638,24.9,22.1,30.1,21,163.5,128.9,0
1-Aug,562,26.6,24.9,32.3,22.5,280,162.3,0
1-Sep,541,23.9,26.6,28.2,20.4,240.5,97.3,0
1-Oct,719,17.3,23.9,22.7,12.9,37.5,155,3
1-Nov,963,9.8,17.3,15.4,5.3,69,161.1,0
1-Dec,1310,6.7,9.8,12.8,1.2,37.5,223.6,0
1-Jan,1239,3.7,6.7,9.8,-1.3,20,222.4,0
1-Feb,1300,4.8,3.7,10.3,-0.5,4,232.3,0
1-Mar,1086,7.3,4.8,12.4,2.1,58,211.2,0
1-Apr,860,13.9,7.3,20.6,7.7,47.5,226.9,4
1-May,1098,19.6,13.9,26.1,13.7,65.5,201.5,5
1-Jun,929,22,19.6,27.8,17.2,80,188.2,1
1-Jul,701,27,22,32.5,22.8,238,163.3,0
1-Aug,514,25.6,27,30.3,22.3,166.5,80.8,0
1-Sep,767,22.2,25.6,27.7,17.8,98.5,171.4,0
1-Oct,1097,16,22.2,20.5,12.6,379.5,115.1,11
1-Nov,614,9.8,16,15.9,4.5,9,184.7,0
1-Dec,772,4.6,9.8,10.8,-0.6,2.5,230.7,0
1-Jan,913,3.1,4.6,8.6,-1.9,18,228.7,0
1-Feb,1069,3.8,3.1,9.9,-1.6,8.5,203.7,0
1-Mar,1355,10.1,3.8,16.6,3.9,99.5,230.3,0
1-Apr,850,16.1,10.1,22.5,10.2,43,221.4,3
1-May,1104,19.3,16.1,25.6,13.4,108,208.6,4
1-Jun,989,22.6,19.3,27.8,17.5,121.5,195.8,2
1-Jul,588,28.5,22.6,34.2,23.8,153,217.6,0
1-Aug,482,27.7,28.5,33.8,22.9,127.5,203.7,0
1-Sep,589,22.7,27.7,27.5,19.2,207,86.4,2
1-Oct,930,18,22.7,23.3,13.8,33,151.9,3
1-Nov,1468,12.5,18,18.3,7.9,21,176.1,7
1-Dec,1212,6.4,12.5,11.9,1.7,9.5,175.9,1
1-Jan,1020,3.7,6.4,9.5,-1.8,1,238.7,0
1-Feb,1180,5.4,3.7,11.2,0,10,195.9,0
1-Mar,1120,9,5.4,15.1,3.6,62.5,220.9,0
1-Apr,1004,12.9,9,19,7.1,93,226.8,3
1-May,1138,19.9,12.9,26.9,13.3,85.5,252,0
1-Jun,912,21.5,19.9,26.6,17.3,211,125.7,3
1-Jul,729,24.1,21.5,28.4,21,268.5,70.7,0
1-Aug,439,27.9,24.1,33.6,24,136.5,182.4,0
1-Sep,640,24.5,27.9,29.9,20.3,35.5,155.1,0
1-Oct,996,18.7,24.5,23.6,14.7,410,129,7
1-Nov,846,11.5,18.7,17.2,6.6,57.5,180.5,2
1-Dec,1020,6.5,11.5,11.9,1.8,26.5,155.6,0